condition_id,source,week_start,sentiment_score,sentiment_direction,post_count
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-04-01 00:00:00,0.8786,1,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-04-15 00:00:00,-0.72195,-1,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-04-22 00:00:00,-0.94045,-1,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-06-03 00:00:00,-0.0382,0,5
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-06-10 00:00:00,0.1677,1,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-06-17 00:00:00,-0.1998,-1,3
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-06-24 00:00:00,-0.79075,-1,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-07-08 00:00:00,-0.5181,-1,3
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-07-15 00:00:00,-0.05646,-1,5
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-07-22 00:00:00,-0.12755,-1,4
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-07-29 00:00:00,-0.74607,-1,3
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-08-19 00:00:00,-0.69795,-1,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-09-02 00:00:00,-0.34168,-1,4
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-09-09 00:00:00,-0.10247,-1,3
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-09-16 00:00:00,-0.37487,-1,3
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-09-30 00:00:00,0.0086,0,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-11-11 00:00:00,0.9187,1,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-11-25 00:00:00,0.9556,1,2
0x0f99544f8db2651fdafb79636924b4d9ec73c9b61d77a9e56f467c6b0c932c3d,truth_social,2024-12-02 00:00:00,-0.1022,-1,2
0xd4dfcc32f0a03aef3c273345a8a9c0cc5680082e03e39aecdd7660c5c90ac15e,truth_social,2024-04-15 00:00:00,-0.81495,-1,2
0xd4dfcc32f0a03aef3c273345a8a9c0cc5680082e03e39aecdd7660c5c90ac15e,truth_social,2024-04-22 00:00:00,-0.94675,-1,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-04-08 00:00:00,0.42902,1,4
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-04-15 00:00:00,-0.81495,-1,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-04-22 00:00:00,-0.30397,-1,3
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-05-06 00:00:00,0.32998,1,4
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-05-20 00:00:00,0.36152,1,6
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-05-27 00:00:00,0.5259,1,5
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-06-03 00:00:00,-0.97165,-1,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-06-10 00:00:00,0.76922,1,5
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-06-17 00:00:00,-0.16575,-1,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-06-24 00:00:00,-0.0077,0,2
0xb36d9c4fb1fac427ee93c27730c7c2b88c8e6000c7ff693bbcab68458b658f6c,truth_social,2024-07-01 00:00:00,0.3787,1,2
